 

stn;time;htoauths
SLFFIR;1998111823;87
SLFFIR;1998111900;87
SLFFIR;1998111901;86
SLFFIR;1998111902;86
SLFFIR;1998111903;86
SLFFIR;1998111904;86
SLFFIR;1998111905;85
SLFFIR;1998111906;85
SLFFIR;1998111907;85
SLFFIR;1998111908;85
SLFFIR;1998111909;82
SLFFIR;1998111910;81
SLFFIR;1998111911;80
SLFFIR;1998111912;82
SLFFIR;1998111913;82
SLFFIR;1998111914;81
SLFFIR;1998111915;81
SLFFIR;1998111916;81
SLFFIR;1998111917;81
SLFFIR;1998111918;81
SLFFIR;1998111919;81
SLFFIR;1998111920;81
SLFFIR;1998111921;81
SLFFIR;1998111922;81
SLFFIR;1998111923;81
SLFFIR;1998112000;80
SLFFIR;1998112001;81
SLFFIR;1998112002;81
SLFFIR;1998112003;81
SLFFIR;1998112004;80
SLFFIR;1998112005;80
SLFFIR;1998112006;80
SLFFIR;1998112007;81
SLFFIR;1998112008;80
SLFFIR;1998112009;78
SLFFIR;1998112010;77
SLFFIR;1998112011;76
SLFFIR;1998112012;77
SLFFIR;1998112013;75
SLFFIR;1998112014;78
SLFFIR;1998112015;78
SLFFIR;1998112016;78
SLFFIR;1998112017;78
SLFFIR;1998112018;78
SLFFIR;1998112019;79
SLFFIR;1998112020;79
SLFFIR;1998112021;79
SLFFIR;1998112022;78
SLFFIR;1998112023;79
SLFFIR;1998112100;79
SLFFIR;1998112101;78
SLFFIR;1998112102;77
SLFFIR;1998112103;76
SLFFIR;1998112104;76
SLFFIR;1998112105;76
SLFFIR;1998112106;76
SLFFIR;1998112107;76
SLFFIR;1998112108;77
SLFFIR;1998112109;76
SLFFIR;1998112110;76
SLFFIR;1998112111;74
SLFFIR;1998112112;73
SLFFIR;1998112113;72
SLFFIR;1998112114;74
SLFFIR;1998112115;75
SLFFIR;1998112116;75
SLFFIR;1998112117;74
SLFFIR;1998112118;-
SLFFIR;1998112119;76
SLFFIR;1998112120;10
SLFFIR;1998112121;76
SLFFIR;1998112122;76
SLFFIR;1998112123;76
SLFFIR;1998112200;75
SLFFIR;1998112201;75
SLFFIR;1998112202;75
SLFFIR;1998112203;75
SLFFIR;1998112204;75
SLFFIR;1998112205;75
SLFFIR;1998112206;75
SLFFIR;1998112207;75
SLFFIR;1998112208;74
SLFFIR;1998112209;73
SLFFIR;1998112210;71
SLFFIR;1998112211;72
SLFFIR;1998112212;72
SLFFIR;1998112213;71
SLFFIR;1998112214;72
SLFFIR;1998112215;73
SLFFIR;1998112216;74
SLFFIR;1998112217;74
SLFFIR;1998112218;74
SLFFIR;1998112219;74
SLFFIR;1998112220;74
SLFFIR;1998112221;74
SLFFIR;1998112222;73
SLFFIR;1998112223;74
SLFFIR;1998112300;74
SLFFIR;1998112301;74
SLFFIR;1998112302;73
SLFFIR;1998112303;73
SLFFIR;1998112304;73
SLFFIR;1998112305;74
SLFFIR;1998112306;73
SLFFIR;1998112307;74
SLFFIR;1998112308;73
SLFFIR;1998112309;71
SLFFIR;1998112310;69
SLFFIR;1998112311;66
SLFFIR;1998112312;65
SLFFIR;1998112313;66
SLFFIR;1998112314;69
SLFFIR;1998112315;71
SLFFIR;1998112316;73
SLFFIR;1998112317;73
SLFFIR;1998112318;73
SLFFIR;1998112319;73
SLFFIR;1998112320;73
SLFFIR;1998112321;73
SLFFIR;1998112322;73
SLFFIR;1998112323;73
SLFFIR;1998112400;73
SLFFIR;1998112401;73
SLFFIR;1998112402;73
SLFFIR;1998112403;73
SLFFIR;1998112404;73
SLFFIR;1998112405;72
SLFFIR;1998112406;73
SLFFIR;1998112407;72
SLFFIR;1998112408;73
SLFFIR;1998112409;69
SLFFIR;1998112410;68
SLFFIR;1998112411;68
SLFFIR;1998112412;66
SLFFIR;1998112413;68
SLFFIR;1998112414;69
SLFFIR;1998112415;71
SLFFIR;1998112416;72
SLFFIR;1998112417;70
SLFFIR;1998112418;71
SLFFIR;1998112419;71
SLFFIR;1998112420;72
SLFFIR;1998112421;72
SLFFIR;1998112422;72
