 

stn;time;rre150m0
EIG;194511;98.0
EIG;194512;167.0
EIG;194601;108.0
EIG;194602;188.0
EIG;194603;100.0
EIG;194604;35.0
EIG;194605;132.0
EIG;194606;226.0
EIG;194607;164.0
EIG;194608;153.0
EIG;194609;68.0
EIG;194610;78.0
EIG;194611;55.0
EIG;194612;101.0
EIG;194701;133.0
EIG;194702;62.0
EIG;194703;226.0
EIG;194704;83.0
EIG;194705;121.0
EIG;194706;147.0
EIG;194707;137.0
EIG;194708;118.0
EIG;194709;121.0
EIG;194710;51.0
EIG;194711;300.0
EIG;194712;211.0
EIG;194801;187.0
EIG;194802;139.0
EIG;194803;30.0
EIG;194804;95.0
EIG;194805;62.0
EIG;194806;279.0
EIG;194807;238.0
EIG;194808;176.0
EIG;194809;236.0
EIG;194810;68.0
EIG;194811;73.0
EIG;194812;38.0
EIG;194901;151.0
EIG;194902;44.0
EIG;194903;123.0
EIG;194904;148.0
EIG;194905;189.0
EIG;194906;103.0
EIG;194907;101.0
EIG;194908;135.0
EIG;194909;110.0
EIG;194910;85.0
EIG;194911;181.0
EIG;194912;111.0
EIG;195001;101.0
EIG;195002;157.0
EIG;195003;34.0
EIG;195004;179.0
EIG;195005;117.0
EIG;195006;155.0
EIG;195007;167.0
EIG;195008;182.0
EIG;195009;165.0
EIG;195010;46.0
EIG;195011;238.0
EIG;195012;118.0
EIG;195101;189.0
EIG;195102;275.0
EIG;195103;232.0
EIG;195104;120.0
EIG;195105;166.0
EIG;195106;190.0
EIG;195107;127.0
EIG;195108;186.0
EIG;195109;116.0
EIG;195110;74.0
EIG;195111;299.0
EIG;195112;125.0
EIG;195201;218.0
EIG;195202;140.0
EIG;195203;199.0
EIG;195204;115.0
