time,EIG,KSE
1944-10-01,200.0,
1944-11-01,352.0,
1944-12-01,120.0,
1945-01-01,105.0,
1945-02-01,125.0,
1945-03-01,201.0,
1945-04-01,179.0,
1945-05-01,160.0,
1945-06-01,118.0,
1945-07-01,105.0,
1945-08-01,270.0,
1945-09-01,218.0,
1945-10-01,91.0,
1945-11-01,98.0,
1945-12-01,167.0,
1946-01-01,108.0,
1946-02-01,188.0,
1946-03-01,100.0,
1946-04-01,35.0,
1946-05-01,132.0,
1946-06-01,226.0,
1946-07-01,164.0,
1946-08-01,153.0,
1946-09-01,68.0,
1946-10-01,78.0,
1946-11-01,55.0,
1946-12-01,101.0,
1947-01-01,133.0,
1947-02-01,62.0,
1947-03-01,226.0,
1947-04-01,83.0,
1947-05-01,121.0,
1947-06-01,147.0,
1947-07-01,137.0,
1947-08-01,118.0,
1947-09-01,121.0,
1947-10-01,51.0,
1947-11-01,300.0,
1947-12-01,211.0,
1948-01-01,187.0,
1948-02-01,139.0,
1948-03-01,30.0,
1948-04-01,95.0,
1948-05-01,62.0,
1948-06-01,279.0,
1948-07-01,238.0,
1948-08-01,176.0,
1948-09-01,236.0,
1948-10-01,68.0,
1948-11-01,73.0,
1948-12-01,38.0,
1949-01-01,151.0,
1949-02-01,44.0,
1949-03-01,123.0,
1949-04-01,148.0,
1949-05-01,189.0,
1949-06-01,103.0,
1949-07-01,101.0,
1949-08-01,135.0,
1949-09-01,110.0,
1949-10-01,85.0,
1949-11-01,181.0,
1949-12-01,111.0,
1950-01-01,101.0,
1950-02-01,157.0,
1950-03-01,34.0,
1950-04-01,179.0,
1950-05-01,117.0,
1950-06-01,155.0,
1950-07-01,167.0,
1950-08-01,182.0,
1950-09-01,165.0,
1950-10-01,46.0,
1950-11-01,238.0,
1950-12-01,118.0,
1951-01-01,189.0,
1951-02-01,275.0,
1951-03-01,232.0,
1951-04-01,120.0,
1951-05-01,166.0,
1951-06-01,190.0,
1951-07-01,127.0,
1951-08-01,186.0,
1951-09-01,116.0,
