time,JUN
1962-02-01,-15.3
1962-03-01,-15.6
1962-04-01,-12.6
1962-05-01,-8.5
1962-06-01,-3.9
1962-07-01,-1.9
1962-08-01,1.0
1962-09-01,-2.4
1962-10-01,-3.4
1962-11-01,-12.8
1962-12-01,-15.0
1963-01-01,-17.6
1963-02-01,-17.8
1963-03-01,-12.4
1963-04-01,-9.3
1963-05-01,-6.9
1963-06-01,-2.8
1963-07-01,0.5
1963-08-01,-2.0
1963-09-01,-2.6
1963-10-01,-4.3
1963-11-01,-8.6
1963-12-01,-11.6
1964-01-01,-10.4
1964-02-01,-12.9
1964-03-01,-12.6
1964-04-01,-9.8
1964-05-01,-5.1
1964-06-01,-1.2
1964-07-01,0.0
1964-08-01,-1.4
1964-09-01,-1.5
1964-10-01,-9.1
1964-11-01,-8.5
1964-12-01,-12.8
1965-01-01,-14.7
1965-02-01,-18.5
1965-03-01,-13.5
1965-04-01,-13.2
1965-05-01,-7.5
1965-06-01,-2.8
1965-07-01,-2.4
1965-08-01,-2.4
1965-09-01,-4.8
1965-10-01,-3.3
1965-11-01,-12.7
1965-12-01,-13.5
1966-01-01,-14.9
1966-02-01,-10.5
1966-03-01,-14.9
1966-04-01,-9.0
1966-05-01,-6.6
1966-06-01,-2.7
1966-07-01,-2.9
1966-08-01,-2.3
1966-09-01,-0.5
1966-10-01,-5.0
1966-11-01,-14.3
1966-12-01,-14.4
1967-01-01,-14.2
1967-02-01,-13.1
1967-03-01,-12.9
1967-04-01,-12.0
1967-05-01,-6.7
1967-06-01,-3.8
1967-07-01,0.8
1967-08-01,-0.4
1967-09-01,-3.7
1967-10-01,-3.3
1967-11-01,-7.4
1967-12-01,-14.8
1968-01-01,-16.8
1968-02-01,-13.7
1968-03-01,-11.9
1968-04-01,-8.7
1968-05-01,-6.8
1968-06-01,-3.5
1968-07-01,-1.6
1968-08-01,-2.7
1968-09-01,-3.9
1968-10-01,-3.5
1968-11-01,-8.4
1968-12-01,-15.2
1969-01-01,-12.6
1969-02-01,-18.8
1969-03-01,-12.9
1969-04-01,-11.9
1969-05-01,-5.0
1969-06-01,-4.8
1969-07-01,0.1
1969-08-01,-2.6
1969-09-01,-1.2
1969-10-01,-2.6
1969-11-01,-10.6
1969-12-01,-16.1
1970-01-01,-12.4
1970-02-01,-17.8
1970-03-01,-16.8
1970-04-01,-14.7
1970-05-01,-8.7
1970-06-01,-2.4
1970-07-01,-1.5
1970-08-01,-1.0
1970-09-01,-1.1
1970-10-01,-6.6
1970-11-01,-8.5
1970-12-01,-14.1
1971-01-01,-14.1
1971-02-01,-14.7
1971-03-01,-16.7
1971-04-01,-8.4
1971-05-01,-5.1
1971-06-01,-5.1
1971-07-01,0.2
1971-08-01,0.5
1971-09-01,-3.4
1971-10-01,-3.0
1971-11-01,-11.1
1971-12-01,-8.7
1972-01-01,-14.0
1972-02-01,-13.0
1972-03-01,-11.7
1972-04-01,-11.1
1972-05-01,-8.3
1972-06-01,-3.6
1972-07-01,-1.1
1972-08-01,-1.9
1972-09-01,-6.4
1972-10-01,-5.6
1972-11-01,-9.8
1972-12-01,-10.2
1973-01-01,-12.0
1973-02-01,-16.8
1973-03-01,-13.8
1973-04-01,-14.3
1973-05-01,-5.2
1973-06-01,-2.2
1973-07-01,-2.2
1973-08-01,0.8
1973-09-01,-2.2
1973-10-01,-6.2
1973-11-01,-10.4
1973-12-01,-13.4
1974-01-01,-10.7
1974-02-01,-13.9
1974-03-01,-12.5
1974-04-01,-11.4
1974-05-01,-7.7
1974-06-01,-5.0
1974-07-01,-2.1
1974-08-01,-0.1
1974-09-01,-4.1
1974-10-01,-14.6
1974-11-01,-11.7
1974-12-01,-12.1
1975-01-01,-10.9
1975-02-01,-12.1
1975-03-01,-15.0
1975-04-01,-10.9
1975-05-01,-6.8
1975-06-01,-4.9
1975-07-01,-1.1
1975-08-01,-1.1
1975-09-01,-1.8
1975-10-01,-6.5
1975-11-01,-10.5
1975-12-01,-9.6
1976-01-01,-14.9
1976-02-01,-12.1
1976-03-01,-13.9
1976-04-01,-10.9
1976-05-01,-5.9
1976-06-01,-2.3
1976-07-01,-1.1
1976-08-01,-3.2
1976-09-01,-5.0
1976-10-01,-5.4
