 

stn;time;rka150d0
BEKSE;20091218;1.3
BEKSE;20091219;0.4
BEKSE;20091220;0.0
BEKSE;20091221;0.2
BEKSE;20091222;2.2
BEKSE;20091223;3.9
BEKSE;20091224;1.1
BEKSE;20091225;8.4
BEKSE;20091226;0.0
BEKSE;20091227;0.3
BEKSE;20091228;1.8
BEKSE;20091229;1.7
BEKSE;20091230;3.3
BEKSE;20091231;6.5
BEKSE;20100101;2.5
BEKSE;20100102;1.1
BEKSE;20100103;0.0
BEKSE;20100104;1.8
BEKSE;20100105;0.0
BEKSE;20100106;0.0
BEKSE;20100107;0.0
BEKSE;20100108;1.5
BEKSE;20100109;0.7
BEKSE;20100110;0.0
BEKSE;20100111;0.0
BEKSE;20100112;0.0
BEKSE;20100113;1.2
BEKSE;20100114;0.0
BEKSE;20100115;0.0
BEKSE;20100116;0.4
BEKSE;20100117;2.0
BEKSE;20100118;0.0
BEKSE;20100119;0.0
BEKSE;20100120;1.2
BEKSE;20100121;0.3
BEKSE;20100122;0.0
BEKSE;20100123;0.0
BEKSE;20100124;0.0
BEKSE;20100125;0.2
BEKSE;20100126;3.2
BEKSE;20100127;0.0
BEKSE;20100128;4.4
BEKSE;20100129;1.3
BEKSE;20100130;5.0
BEKSE;20100131;1.6
BEKSE;20100201;1.2
BEKSE;20100202;0.3
BEKSE;20100203;0.0
BEKSE;20100204;0.0
BEKSE;20100205;11.8
BEKSE;20100206;0.2
BEKSE;20100207;0.0
BEKSE;20100208;0.0
BEKSE;20100209;0.5
BEKSE;20100210;2.5
BEKSE;20100211;0.0
BEKSE;20100212;0.0
BEKSE;20100213;0.0
BEKSE;20100214;0.0
BEKSE;20100215;0.0
BEKSE;20100216;0.0
BEKSE;20100217;0.0
BEKSE;20100218;0.0
BEKSE;20100219;4.6
BEKSE;20100220;0.0
BEKSE;20100221;0.0
BEKSE;20100222;0.0
BEKSE;20100223;0.8
BEKSE;20100224;4.1
BEKSE;20100225;0.0
BEKSE;20100226;5.7
BEKSE;20100227;0.0
BEKSE;20100228;0.3
BEKSE;20100301;0.0
BEKSE;20100302;0.3
BEKSE;20100303;0.0
BEKSE;20100304;3.0
BEKSE;20100305;0.8
BEKSE;20100306;2.2
BEKSE;20100307;0.5
BEKSE;20100308;0.0
BEKSE;20100309;0.2
BEKSE;20100310;0.0
BEKSE;20100311;1.1
BEKSE;20100312;0.0
BEKSE;20100313;0.0
BEKSE;20100314;0.0
BEKSE;20100315;0.1
BEKSE;20100316;1.0
BEKSE;20100317;0.0
BEKSE;20100318;0.0
BEKSE;20100319;0.0
BEKSE;20100320;0.0
BEKSE;20100321;4.9
BEKSE;20100322;1.0
BEKSE;20100323;0.0
BEKSE;20100324;0.0
BEKSE;20100325;0.0
BEKSE;20100326;10.3
BEKSE;20100327;2.8
BEKSE;20100328;2.9
BEKSE;20100329;0.0
BEKSE;20100330;8.3
BEKSE;20100331;0.0
BEKSE;20100401;5.5
BEKSE;20100402;0.0
BEKSE;20100403;0.0
BEKSE;20100404;10.4
BEKSE;20100405;5.6
BEKSE;20100406;0.0
BEKSE;20100407;0.0
BEKSE;20100408;0.0
BEKSE;20100409;0.0
BEKSE;20100410;0.0
BEKSE;20100411;4.5
BEKSE;20100412;1.4
BEKSE;20100413;1.3
BEKSE;20100414;0.0
BEKSE;20100415;1.2
BEKSE;20100416;0.0
BEKSE;20100417;0.0
BEKSE;20100418;2.2
BEKSE;20100419;0.0
BEKSE;20100420;0.0
BEKSE;20100421;0.0
BEKSE;20100422;0.0
BEKSE;20100423;0.0
BEKSE;20100424;0.6
BEKSE;20100425;4.0
BEKSE;20100426;4.1
BEKSE;20100427;0.0
BEKSE;20100428;0.0
BEKSE;20100429;0.0
BEKSE;20100430;7.2
BEKSE;20100501;8.1
BEKSE;20100502;20.8
BEKSE;20100503;7.9
BEKSE;20100504;0.7
